collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Wilhelt, the Rotcleaver","","1","2501a911-d072-436d-ae3b-a5164e3b30aa","mic","Midnight Hunt Commander"
"382","","en","Swamp","","15","2f4b9030-f04a-4f42-8dd8-2eae0ce7e420","mid","Innistrad: Midnight Hunt"
"381","","en","Island","","12","60e6b919-e7c0-4844-a65c-d8b83b3e5287","mid","Innistrad: Midnight Hunt"
"18","","en","Curse of the Restless Dead","","1","cdde244a-d2f4-44b3-badd-d6142785e25c","mic","Midnight Hunt Commander"
"22","","en","Ravenous Rotbelly","","1","d58d8968-825b-453d-b109-8f975cd99322","mic","Midnight Hunt Commander"
"14","","en","Empty the Laboratory","","1","191f6693-32d9-448d-8889-f98cf13c2277","mic","Midnight Hunt Commander"
"12","","en","Curse of Unbinding","","1","6b56ccbc-efc7-4c5c-84be-b63f8c4cd63c","mic","Midnight Hunt Commander"
"21","","en","Prowling Geistcatcher","","1","84ed5b16-273a-432b-895b-791ffaa5148d","mic","Midnight Hunt Commander"
"11","","en","Cleaver Skaab","","1","30498d6c-29e2-4d05-a5bc-e2e623c5704d","mic","Midnight Hunt Commander"
"13","","en","Drown in Dreams","","1","af4d5acb-12d6-46d7-aaf9-3ace1520825a","mic","Midnight Hunt Commander"
"15","","en","Hordewing Skaab","","1","6e67802e-e0d9-4989-b1c2-77ef2ff69796","mic","Midnight Hunt Commander"
"23","","en","Tomb Tyrant","","1","73315f75-252e-4db2-b48c-a60eafaf25e3","mic","Midnight Hunt Commander"
"17","","en","Crowded Crypt","","1","3d6114bd-d5d3-441a-80a5-67eb7a355506","mic","Midnight Hunt Commander"
"20","","en","Gorex, the Tombshell","","1","398ecf98-b36b-45e1-8ac1-9d364e12d79e","mic","Midnight Hunt Commander"
"19","","en","Ghouls' Night Out","","1","f532dce5-66b7-4f42-87c3-c7cb8d47d10e","mic","Midnight Hunt Commander"
"16","","en","Shadow Kin","","1","00ca621f-c409-4255-828b-c9957e82c06f","mic","Midnight Hunt Commander"
"131","","en","Zombie Apocalypse","","1","854ae40d-ee52-434e-8fe0-1b5a0d4ea58b","mic","Midnight Hunt Commander"
"170","","en","Command Tower","","1","0caa7e29-b8c5-41d3-bc0f-7f1ad1d6e674","mic","Midnight Hunt Commander"
"159","","en","Commander's Sphere","","1","38551b28-bdbe-4177-9dcb-8d2da2879115","mic","Midnight Hunt Commander"
"109","","en","Corpse Augur","","1","1fc6a2f2-42d9-4d2a-aa3b-f6ce973cd409","mic","Midnight Hunt Commander"
