collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Chishiro, the Shattered Blade","","1","bffa36ac-137d-481c-b1b7-76a88ef15d54","nec","Neon Dynasty Commander"
"263","","en","Walking Skyscraper","","1","958af4ba-f29e-47ef-995e-3985982c75ad","neo","Kamigawa: Neon Dynasty"
"203","","en","Orochi Merge-Keeper","","1","736c3278-6ee2-47f9-aab0-1457e90137b1","neo","Kamigawa: Neon Dynasty"
"262","","en","Towashi Guide-Bot","","1","da4ccf70-b661-46ea-bea9-4466a3a35562","neo","Kamigawa: Neon Dynasty"
"223","","en","Invigorating Hot Spring","","1","59a118d1-30b8-42c0-ac42-6fba0778200a","neo","Kamigawa: Neon Dynasty"
"29","","en","Silkguard","","1","d4373a89-b571-46e2-9021-02aa4cdbb3b0","nec","Neon Dynasty Commander"
"25","","en","Concord with the Kami","","1","c3e38dec-178b-497a-bfbd-371905690a39","nec","Neon Dynasty Commander"
"28","","en","Rampant Rejuvenator","","1","16b06b17-f256-428f-9bed-f115af270f27","nec","Neon Dynasty Commander"
"22","","en","Smoke Spirits' Aid","","1","e492a245-46ba-438e-8d81-4626faa49bff","nec","Neon Dynasty Commander"
"27","","en","One with the Kami","","1","d753c296-8cef-492d-ab41-e7ddb233d46e","nec","Neon Dynasty Commander"
"24","","en","Ascendant Acolyte","","1","918a9e38-29ec-4279-8cf6-f01141497cab","nec","Neon Dynasty Commander"
"30","","en","Tanuki Transplanter","","1","45ea5ead-9fd8-4909-96aa-d4e970891c93","nec","Neon Dynasty Commander"
"20","","en","Kami of Celebration","","1","bda67054-bbd8-4979-801a-a5e9ca335f49","nec","Neon Dynasty Commander"
"19","","en","Collision of Realms","","1","49618217-1bbb-498a-a6f0-f269ce7166a6","nec","Neon Dynasty Commander"
"21","","en","Komainu Battle Armor","","1","d6ecab4b-fcff-4cf9-8e26-f3c609179050","nec","Neon Dynasty Commander"
"26","","en","Kosei, Penitent Warlord","","1","82291f66-f4f0-4542-992e-8342e90033da","nec","Neon Dynasty Commander"
"18","","en","Akki Battle Squad","","1","ca624ce6-5b99-41af-8e26-b952f5a30916","nec","Neon Dynasty Commander"
"23","","en","Unquenchable Fury","","1","db6b3f71-d833-4548-8d66-1d51da08d8b9","nec","Neon Dynasty Commander"
"128","","en","Sakura-Tribe Elder","","1","53754cb3-0294-41e0-90d7-a35710ea30e4","nec","Neon Dynasty Commander"
"120","","en","Kodama's Reach","","1","bf1c9d24-f5f6-43ff-85c3-034b76e1bf1b","nec","Neon Dynasty Commander"
"113","","en","Bear Umbra","","1","5a195fb1-f2e9-4e05-8a04-c335e1afbef6","nec","Neon Dynasty Commander"
"104","","en","Chaos Warp","","1","9270e071-7a22-4f38-af2f-fb4933a5784b","nec","Neon Dynasty Commander"
"114","","en","Beast Within","","1","de50c5d4-6599-4894-a8d7-01d104fc97fd","nec","Neon Dynasty Commander"
"163","","en","Swiftfoot Boots","","1","ee23ba9f-3f5e-4fe4-95f8-3dd464db997b","nec","Neon Dynasty Commander"
"144","","en","Arcane Signet","","1","7bdf4615-7a08-40fe-9e04-cdbe10a62e06","nec","Neon Dynasty Commander"
"125","","en","Rampant Growth","","1","0442b365-c970-478b-b418-ae02d83ca8e1","nec","Neon Dynasty Commander"
"167","","en","Command Tower","","1","a5efe226-a6fc-4fdb-a3d4-2b1ae0d667a8","nec","Neon Dynasty Commander"
"179","","en","Temple of Abandon","","1","1f539604-8847-45c7-9934-532583c42eab","nec","Neon Dynasty Commander"
"169","","en","Game Trail","","1","4d0376e3-a1ae-4935-b392-2cb4ccd0d9a7","nec","Neon Dynasty Commander"
"161","","en","Sol Ring","","1","3917f744-b876-47ae-94ad-f72b215ff1e7","nec","Neon Dynasty Commander"
"168","","en","Exotic Orchard","","1","d9ed9f21-5dc4-484d-bc31-8efc81254744","nec","Neon Dynasty Commander"
"115","","en","Champion of Lambholt","","1","f37f3696-a780-4203-8ae9-06e14235066b","nec","Neon Dynasty Commander"
"170","","en","Gruul Turf","","1","20ca3527-b3e8-4d9b-8a0b-0c7d61fc6d39","nec","Neon Dynasty Commander"
"142","","en","Rhythm of the Wild","","1","70d13ff4-e6ba-4bfe-9668-d11f7facb8d3","nec","Neon Dynasty Commander"
"166","","en","Cinder Glade","","1","f502721a-22f4-4c91-a85a-67628b9efbbb","nec","Neon Dynasty Commander"
"172","","en","Opal Palace","","1","3e639915-9c9c-482f-ad9b-b8158f2971e1","nec","Neon Dynasty Commander"
"110","","en","Starstorm","","1","728b356a-e2ec-4c44-bd0a-bb9a5427a1ad","nec","Neon Dynasty Commander"
"112","","en","Acidic Slime","","1","c672b34d-066e-40e6-a499-3ab68ea6514c","nec","Neon Dynasty Commander"
"103","","en","Chain Reaction","","1","491c77ae-ccd9-4eb5-a0f0-bae85b82d50a","nec","Neon Dynasty Commander"
"102","","en","Agitator Ant","","1","6a61c242-5273-430c-b14e-fb76dc782ba3","nec","Neon Dynasty Commander"
"147","","en","Bonehoard","","1","57c0258f-f464-4f52-b234-ba44a76d932a","nec","Neon Dynasty Commander"
"146","","en","Blackblade Reforged","","1","da9a73af-57a2-499a-8a14-e164a6506e8b","nec","Neon Dynasty Commander"
"137","","en","Decimate","","1","a99f8c13-c4bd-4e6c-8059-ef5e6ad30331","nec","Neon Dynasty Commander"
"105","","en","Elemental Mastery","","1","77dd1c84-0c67-41a2-aa19-ca448520ac54","nec","Neon Dynasty Commander"
"116","","en","Fertilid","","1","a7402ae8-fd87-4412-ab4f-44bcc2d49764","nec","Neon Dynasty Commander"
"118","","en","Genesis Hydra","","1","451eb0dd-f3e8-4504-9de0-0bdf124e9ae2","nec","Neon Dynasty Commander"
"106","","en","Goblin Razerunners","","1","5c06fb09-1e64-49c7-9938-541c0433bf5a","nec","Neon Dynasty Commander"
"107","","en","Krenko, Tin Street Kingpin","","1","f51d53fc-8e62-45fd-b2cd-8f93d7f9e1fa","nec","Neon Dynasty Commander"
"140","","en","Mage Slayer","","1","e3226808-493e-4df2-9446-cb7cb47aaf2c","nec","Neon Dynasty Commander"
"121","","en","Loyal Guardian","","1","4b9a5878-985d-47ba-a3dd-fe897777b873","nec","Neon Dynasty Commander"
"151","","en","Fireshrieker","","1","ab1f2ab8-1ef3-4610-a2d0-cb87b982c649","nec","Neon Dynasty Commander"
"117","","en","Forgotten Ancient","","1","13ecbd14-bf93-4beb-afb0-6355fe9092a6","nec","Neon Dynasty Commander"
"138","","en","Grumgully, the Generous","","1","ba580628-60d1-4281-8705-dbc7823afd8d","nec","Neon Dynasty Commander"
