collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Urza, Chief Artificer","","1","ea409050-4296-4b76-a6cd-2896ce1b88e4","brc","The Brothers' War Commander"
"92","","en","Preordain","","1","fa6a22a2-2c97-4279-a7c8-4033698ac108","brc","The Brothers' War Commander"
"120","","en","Baleful Strix","","1","351b47f5-1c85-4e21-9ede-cb13ac96fbc4","brc","The Brothers' War Commander"
"178","","en","Command Tower","","1","84b79453-bb88-4c23-8cdb-82ba57ea3bc5","brc","The Brothers' War Commander"
"159","","en","Skullclamp","","1","3865d44e-7207-4440-9db4-627531979852","brc","The Brothers' War Commander"
"160","","en","Sol Ring","","1","772edef7-2f17-4244-b1bb-4e7a53c253e1","brc","The Brothers' War Commander"
"6","","en","Scholar of New Horizons","","1","e83e50d0-7851-4608-8cfd-63c54d1a7544","brc","The Brothers' War Commander"
"5","","en","Sanwell, Avenger Ace","","1","70cb4359-8e57-4d1a-bf1f-c188555376ce","brc","The Brothers' War Commander"
"11","","en","Wreck Hunter","","1","b9a21809-84cb-45f4-8314-80055983450d","brc","The Brothers' War Commander"
"10","","en","Wire Surgeons","","1","6590bb3c-7613-457f-a028-d7cda3cd6eb4","brc","The Brothers' War Commander"
"14","","en","Hexavus","","1","b599064e-1c44-4df0-ac7d-d2eb0ba44b16","brc","The Brothers' War Commander"
"97","","en","Thopter Spy Network","","1","d85d7885-8c2b-44e9-aa78-40471de15f71","brc","The Brothers' War Commander"
"8","","en","March of Progress","","1","ac2da0e8-cdc5-4ffc-8a5e-893c34b7dd45","brc","The Brothers' War Commander"
"151","","en","Myr Battlesphere","","1","e225aa6b-bcf0-4672-8c95-b18e39e0b826","brc","The Brothers' War Commander"
"74","","en","Phyrexian Rebirth","","1","7f2aa3b8-b41c-432b-9927-c7eae1d6e78e","brc","The Brothers' War Commander"
"93","","en","Sai, Master Thopterist","","1","8d8e0685-ee2f-4b27-a1b3-6e6183bdf229","brc","The Brothers' War Commander"
"101","","en","Whirler Rogue","","1","c4c846c7-b12a-4465-af5e-36adf2b6cdd0","brc","The Brothers' War Commander"
"94","","en","Sharding Sphinx","","1","9d1968e0-c77b-4b16-8270-3de90e084927","brc","The Brothers' War Commander"
"15","","en","Kayla's Music Box","","1","c0e9819f-6bda-4fd3-8d61-3746e1e67418","brc","The Brothers' War Commander"
"19","","en","Thopter Shop","","1","e72a798b-8dab-41f4-9c2d-1d461e1b46c5","brc","The Brothers' War Commander"
"109","","en","Marionette Master","","1","236c3425-17a2-404e-8630-8dbeb9c3981d","brc","The Brothers' War Commander"
"134","","en","Chief of the Foundry","","1","82a00649-080b-4297-80f2-c1e8f18c2ade","brc","The Brothers' War Commander"
"132","","en","Arcane Signet","","1","d5a30a51-3afb-45e9-aab6-40fec44ec55a","brc","The Brothers' War Commander"
"137","","en","Darksteel Juggernaut","","1","a0e4cce2-9c30-4ca9-a069-cc86d4ac57e5","brc","The Brothers' War Commander"
"180","","en","Darksteel Citadel","","1","df29d8e6-f195-46db-9307-41687b5f0f20","brc","The Brothers' War Commander"
"140","","en","Etched Champion","","1","e87347d9-fa02-42b9-8ae2-60374a70ece5","brc","The Brothers' War Commander"
"71","","en","Digsite Engineer","","1","5270882b-2382-450e-bb0c-7804be4f19ea","brc","The Brothers' War Commander"
"164","","en","Steel Overseer","","1","3fb27f1e-21fb-4017-8ef2-37c3206003e3","brc","The Brothers' War Commander"
"119","","en","Alela, Artful Provocateur","","1","43d28c05-0ba1-4afa-a784-b71741375507","brc","The Brothers' War Commander"
"136","","en","Cranial Plating","","1","4b2253d5-f58c-4618-be1e-16e1808806fb","brc","The Brothers' War Commander"
"189","","en","Mistvault Bridge","","1","7ad684fb-cfb0-48b2-802f-bda96afafdc3","brc","The Brothers' War Commander"
"157","","en","Relic of Progenitus","","1","51ab3b6e-c7f2-48a1-bfa3-e7708b539bd6","brc","The Brothers' War Commander"
"98","","en","Thought Monitor","","1","01179c70-a87a-46aa-a95d-3269889e87ff","brc","The Brothers' War Commander"
"198","","en","Seat of the Synod","","1","4277ebca-1c8d-4066-969a-28adf6445b3e","brc","The Brothers' War Commander"
"174","","en","Ash Barrens","","1","e688045d-e26a-4063-bae4-89723d70c129","brc","The Brothers' War Commander"
"163","","en","Steel Hellkite","","1","cbc13ed2-8f89-493d-89ee-fe73a333e59c","brc","The Brothers' War Commander"
"166","","en","Swiftfoot Boots","","1","53a91058-f98a-48dd-94da-354710a27019","brc","The Brothers' War Commander"
"167","","en","Thought Vessel","","1","c1968fb1-4c78-40b7-929c-271569ea0cc9","brc","The Brothers' War Commander"
"68","","en","Angel of the Ruins","","1","f95bbb9b-aeae-4c3d-9106-3bb4cd8140c2","brc","The Brothers' War Commander"
"103","","en","Armix, Filigree Thrasher","","1","fe688c90-2dcf-48b9-a8b5-bea3500bb0a5","brc","The Brothers' War Commander"
"173","","en","Arcane Sanctum","","1","bdf3948c-2c20-46d8-a25d-650b989d0760","brc","The Brothers' War Commander"
"172","","en","Ancient Den","","1","bc74f956-3bef-46bc-a180-6b1773ee4ca6","brc","The Brothers' War Commander"
"69","","en","Austere Command","","1","c800e39d-753b-4e0a-8a00-54dd20825103","brc","The Brothers' War Commander"
"175","","en","Azorius Chancery","","1","d70df0a7-8a09-4715-9a31-8016511c3feb","brc","The Brothers' War Commander"
"80","","en","Bident of Thassa","","1","1e2df1d6-af98-4d6a-bae9-f5df8f21b6cf","brc","The Brothers' War Commander"
"133","","en","Azorius Signet","","1","64ce2373-6b2c-4248-a053-a7fc49f7c480","brc","The Brothers' War Commander"
"123","","en","Chrome Courier","","1","47a40b66-a700-4308-99f3-f3d40db30375","brc","The Brothers' War Commander"
"70","","en","Bronze Guardian","","1","f8b4a39f-d428-47c4-ab4c-452327607aab","brc","The Brothers' War Commander"
"176","","en","Bojuka Bog","","1","ac21a3cc-f3d7-4ac8-9df0-a126738ab54c","brc","The Brothers' War Commander"
"124","","en","Despark","","1","37648ada-7912-4c98-b9eb-585d22cead7e","brc","The Brothers' War Commander"
"138","","en","Dimir Signet","","1","1f03430e-2c3d-4317-b4bd-06c2059b7e34","brc","The Brothers' War Commander"
"182","","en","Dimir Aqueduct","","1","012b9371-45e0-4e06-ad7a-4c52d1d38262","brc","The Brothers' War Commander"
"82","","en","Etherium Sculptor","","1","852e521b-a833-4af0-93f9-6732d382224c","brc","The Brothers' War Commander"
"83","","en","Ethersworn Adjudicator","","1","9442f53b-0588-48f9-b7df-7e9d9ae6aa82","brc","The Brothers' War Commander"
"185","","en","Exotic Orchard","","1","95d63eac-469f-454f-a575-7f19abb554cf","brc","The Brothers' War Commander"
"184","","en","Evolving Wilds","","1","1334e6ac-1edb-4945-935c-0e0ccdde134d","brc","The Brothers' War Commander"
"85","","en","Filigree Attendant","","1","411590fe-221e-4f6a-aad5-e156a95ac63b","brc","The Brothers' War Commander"
"186","","en","Goldmire Bridge","","1","3f529a4f-e2c6-48dc-9001-ed0009b58152","brc","The Brothers' War Commander"
"72","","en","Indomitable Archangel","","1","e2d7a901-238c-4ea3-a6cb-6c9b4cea2ad6","brc","The Brothers' War Commander"
"145","","en","Liquimetal Torque","","1","ca37bdbb-cd35-4d04-a28b-d5eb1f9c2dc3","brc","The Brothers' War Commander"
"73","","en","Losheel, Clockwork Scholar","","1","92bc35a8-1337-43da-a002-71f5a85e8853","brc","The Brothers' War Commander"
"86","","en","Master of Etherium","","1","90f52cb2-3c34-4935-91b0-9ef51e6f5817","brc","The Brothers' War Commander"
"110","","en","Noxious Gearhulk","","1","96886e7f-66b2-4f67-a5c6-c65500bcfdef","brc","The Brothers' War Commander"
"90","","en","One with the Machine","","1","d835976e-cab4-4155-b1dd-eca9cb60830e","brc","The Brothers' War Commander"
"154","","en","Orzhov Signet","","1","b99cac18-281d-437f-ae34-87a10b92c6e9","brc","The Brothers' War Commander"
"193","","en","Prairie Stream","","1","18baf8cd-ed0f-41fd-9295-3affee8a5bbc","brc","The Brothers' War Commander"
"191","","en","Orzhov Basilica","","1","6d31f89f-1758-4f6f-8de8-d270983866fd","brc","The Brothers' War Commander"
"197","","en","River of Tears","","1","ae7cfcdf-d654-45c3-bf79-ccba120b5e68","brc","The Brothers' War Commander"
"195","","en","Razortide Bridge","","1","390d2c8e-d53f-4590-9a9c-9faad5824ea3","brc","The Brothers' War Commander"
"95","","en","Shimmer Dragon","","1","9532d03d-a4c2-44c4-ae14-3f8e0bce79a5","brc","The Brothers' War Commander"
"128","","en","Sharuum the Hegemon","","1","2d7373e7-385f-4887-b1c7-af6d422dd70a","brc","The Brothers' War Commander"
"201","","en","Skycloud Expanse","","1","cf76b175-0523-48c9-afc3-dced07999710","brc","The Brothers' War Commander"
"161","","en","Solemn Simulacrum","","1","aa1afaaa-70d5-434a-994d-cc341c8b8e29","brc","The Brothers' War Commander"
"204","","en","Sunken Hollow","","1","ebafcb7f-e66c-4f7d-a7d9-ca4b4c0eee9d","brc","The Brothers' War Commander"
"203","","en","Spire of Industry","","1","10b8e3a0-2a3e-401a-80a1-a3c8744f0c28","brc","The Brothers' War Commander"
"130","","en","Sphinx's Revelation","","1","16813d4f-4555-4c70-89d6-7b96719f9749","brc","The Brothers' War Commander"
"76","","en","Tempered Steel","","1","143cf473-681c-41b3-8719-55b878382368","brc","The Brothers' War Commander"
"75","","en","Swords to Plowshares","","1","0f34ecf6-460c-4451-b26c-a1fced340c92","brc","The Brothers' War Commander"
"205","","en","Temple of Deceit","","1","1f604a40-dbe4-464f-98da-69c8125614f0","brc","The Brothers' War Commander"
"209","","en","Temple of Silence","","1","36ffb731-b0b4-455e-b296-1ad46a82ab18","brc","The Brothers' War Commander"
"206","","en","Temple of Enlightenment","","1","029a10c0-f589-4f56-8704-1de1bd2cb163","brc","The Brothers' War Commander"
"77","","en","Teshar, Ancestor's Apostle","","1","31b96ec5-065e-41a8-9383-2b86888f4405","brc","The Brothers' War Commander"
"78","","en","Unbreakable Formation","","1","d83a7b27-eb3e-4bd5-8463-9a901ed31710","brc","The Brothers' War Commander"
"131","","en","Vindicate","","1","e311f87d-a0ed-473a-9bab-282c13e63ea9","brc","The Brothers' War Commander"
"211","","en","Vault of Whispers","","1","f482fe5c-1ff5-46f8-befa-b84deaa29f45","brc","The Brothers' War Commander"
"100","","en","Vedalken Humiliator","","1","4eb38644-a65b-4a88-a9f0-20f0805573dc","brc","The Brothers' War Commander"
"79","","en","Urza's Ruinous Blast","","1","3baeeb19-c4f4-4e4f-97e0-52b2e512b26b","brc","The Brothers' War Commander"
"192","","en","Path of Ancestry","","1","95c1557e-68dd-46be-9b1e-0a65e04fe739","brc","The Brothers' War Commander"
"3","foil","en","Tawnos, Solemn Survivor","","1","bdf67de0-f468-4f04-99ab-a442347bb16b","brc","The Brothers' War Commander"
"32","","en","Island","","4","9d075fae-ecd8-44b2-ac24-087afb26a9fa","brc","The Brothers' War Commander"
"30","","en","Plains","","4","410d728f-c4fb-4681-9412-48c21976ed3d","brc","The Brothers' War Commander"
"34","","en","Swamp","","3","3122fe7c-3121-43a6-a37c-3fd17bc93a4d","brc","The Brothers' War Commander"
