collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Strefan, Maurer Progenitor","","1","8f54c6ce-fde4-47ef-a106-5c68b4397f99","voc","Crimson Vow Commander"
"401","","en","Mountain","","11","b86fbf78-57ec-4a0f-9fb6-e4bf13861563","vow","Innistrad: Crimson Vow"
"400","","en","Swamp","","14","be87de91-aa10-4ed8-83a2-261b4f57e7db","vow","Innistrad: Crimson Vow"
"232","","en","Bloodtithe Harvester","","1","f0192cf7-3391-4720-b9c8-72dec5dde01e","vow","Innistrad: Crimson Vow"
"159","","en","Arcane Signet","","1","46f17b66-2484-49f4-80db-408bfda95aa9","voc","Crimson Vow Commander"
"17","","en","Crossway Troublemakers","","1","431711c5-c04f-4d34-97c9-5199cfbf9da9","voc","Crimson Vow Commander"
"120","","en","Bloodline Necromancer","","1","f960d341-3b41-4b2d-a417-85a9b4cd8e4d","voc","Crimson Vow Commander"
"129","","en","Feed the Swarm","","1","5f782dca-4e1b-4b02-81c7-9df633053e78","voc","Crimson Vow Commander"
"24","","en","Imposing Grandeur","","1","8d236055-d524-4312-9c6f-eddb34703e3e","voc","Crimson Vow Commander"
"19","","en","Kamber, the Plunderer","","1","c2e932f7-1a72-44e7-89f7-b853eada74f0","voc","Crimson Vow Commander"
"25","","en","Laurine, the Diversion","","1","909b3afa-a836-4b8a-9ceb-67559fe42420","voc","Crimson Vow Commander"
"26","","en","Markov Enforcer","","1","597bc4ae-335d-4d1d-8a57-530291abc540","voc","Crimson Vow Commander"
"20","","en","Olivia's Wrath","","1","98893cc1-f502-4ca6-b6c1-e09fa1f4ef7a","voc","Crimson Vow Commander"
"145","","en","Crimson Honor Guard","","1","7ac7b366-a967-4efb-9254-a4ec423d63a7","voc","Crimson Vow Commander"
"21","","en","Predators' Hour","","1","dea6d749-d2a9-43f0-8ab4-ff83ba294564","voc","Crimson Vow Commander"
"143","","en","Blasphemous Act","","1","65254343-8b47-49b9-8834-b71bd11f4ab7","voc","Crimson Vow Commander"
"133","","en","Night's Whisper","","1","58a47e66-b979-47cd-9a31-3fa3b4b059ac","voc","Crimson Vow Commander"
"134","","en","Nirkana Revenant","","1","96da0a4c-2865-4383-875a-9f5d6503baee","voc","Crimson Vow Commander"
"184","","en","Tainted Peak","","1","d05068d7-6290-439f-91d4-e820ad1483dd","voc","Crimson Vow Commander"
"135","","en","Patron of the Vein","","1","0a403dbd-c127-4e3f-892f-f0950d92228a","voc","Crimson Vow Commander"
"122","","en","Bloodtracker","","1","f27d34c1-2d78-48b4-baa2-51be778e8b3d","voc","Crimson Vow Commander"
"123","","en","Butcher of Malakir","","1","3140d5af-41e9-4009-9412-294ab71856ac","voc","Crimson Vow Commander"
"141","","en","Anje's Ravager","","1","4230560e-51b2-459d-86b9-8509a8b5b99d","voc","Crimson Vow Commander"
"144","","en","Bloodsworn Steward","","1","4023f86a-91af-439b-b591-8bb621255eee","voc","Crimson Vow Commander"
"23","","en","Arterial Alchemy","","1","afe2dba0-55f4-460c-aa89-3921414e7ea1","voc","Crimson Vow Commander"
"163","","en","Commander's Sphere","","1","55ac2ca9-b6cf-453a-9d8b-8b7be5695f1e","voc","Crimson Vow Commander"
"142","","en","Avacyn's Judgment","","1","2642eb44-becf-4e99-934f-7241fcc32dee","voc","Crimson Vow Commander"
"119","","en","Blood Artist","","1","fe97a73f-33fd-4394-a393-ceb41a214820","voc","Crimson Vow Commander"
"162","","en","Charcoal Diamond","","1","1a48d5fe-acad-47af-8fd8-e8a893d90a92","voc","Crimson Vow Commander"
"121","","en","Bloodlord of Vaasgoth","","1","510c65ea-7c9f-461f-b038-ef119db1ca30","voc","Crimson Vow Commander"
"117","","en","Ancient Craving","","1","f9b3ad9c-ef51-4ba6-a126-ec25d8f25b78","voc","Crimson Vow Commander"
"118","","en","Anowon, the Ruin Sage","","1","b8630ae1-8fe9-4d6e-899b-a28d86d4d729","voc","Crimson Vow Commander"
"124","","en","Champion of Dusk","","1","24961417-0a22-4eb3-8b90-e26cd2b738ba","voc","Crimson Vow Commander"
"172","","en","Command Tower","","1","a5f0af51-a054-4e04-aa6e-3972bd336a40","voc","Crimson Vow Commander"
"125","","en","Cordial Vampire","","1","8c84150f-e2bf-42a2-b2f7-2b6004b29fa4","voc","Crimson Vow Commander"
"126","","en","Damnable Pact","","1","d544553a-6b8b-475b-9d10-a932610bf474","voc","Crimson Vow Commander"
"127","","en","Dark Impostor","","1","bd9384c2-1b55-4da3-91f1-db3d65e98a85","voc","Crimson Vow Commander"
"173","","en","Exotic Orchard","","1","103e7314-d7ca-4be0-b21a-d249602d4502","voc","Crimson Vow Commander"
"164","","en","Fire Diamond","","1","5df5e4e9-b52a-454f-b28d-c12430a952bd","voc","Crimson Vow Commander"
"146","","en","Falkenrath Gorger","","1","6d653a1d-d355-464e-82aa-92028296b7ef","voc","Crimson Vow Commander"
"128","","en","Falkenrath Noble","","1","89420882-5833-46f0-9a3f-3c8e694074df","voc","Crimson Vow Commander"
"174","","en","Foreboding Ruins","","1","a94ac59a-4348-45e9-b158-039fb4bf6867","voc","Crimson Vow Commander"
"18","","en","Glass-Cast Heart","","1","e649110b-9ede-47d8-9fe4-9ef0dd17b19d","voc","Crimson Vow Commander"
"130","","en","Indulgent Aristocrat","","1","37f6200d-caaf-49ca-b021-48186e404ace","voc","Crimson Vow Commander"
"131","","en","Malakir Bloodwitch","","1","b91ceead-5071-43e8-bf90-f379d683acdf","voc","Crimson Vow Commander"
"27","","en","Midnight Arsonist","","1","4d322638-9775-42f4-b75e-d2e1a08bd75d","voc","Crimson Vow Commander"
"148","","en","Molten Echoes","","1","461d9f1c-53a4-48a6-bafb-0e70099f276c","voc","Crimson Vow Commander"
"147","","en","Mob Rule","","1","8b04c928-9ee5-4e39-962e-4686e25b5c33","voc","Crimson Vow Commander"
"132","","en","Necropolis Regent","","1","9cd548d5-6162-4eff-adfc-69b7e3b45712","voc","Crimson Vow Commander"
"176","","en","Myriad Landscape","","1","87459013-c5b6-40b7-bcb7-c508c3ee36ee","voc","Crimson Vow Commander"
"177","","en","Path of Ancestry","","1","92031493-b21f-4029-a01b-0a5c1ddb4776","voc","Crimson Vow Commander"
"156","","en","Rakdos Charm","","1","179d2088-2032-41c2-953e-f8ecbe135d77","voc","Crimson Vow Commander"
"149","","en","Rakish Heir","","1","0da15652-8207-4be1-b821-3fb3dad66e37","voc","Crimson Vow Commander"
"180","","en","Rakdos Carnarium","","1","385e7ce2-0484-4763-949a-10082cd60e46","voc","Crimson Vow Commander"
