collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"36","foil","en","Edgar Markov","","1","8d94b8ec-ecda-43c8-a60e-1ba33e6a54a4","c17","Commander 2017"
"305","","en","Mountain","","4","76a38a60-7e1d-4ef3-acec-1699b29662ce","c17","Commander 2017"
"296","","en","Plains","","3","2fb86b5f-0ff7-4924-8c69-3042ddec7911","c17","Commander 2017"
"303","","en","Swamp","","8","de62de43-a74e-499f-8fe6-68a8a51078ce","c17","Commander 2017"
"242","","en","Command Tower","","1","d2b1183f-bfc6-425f-9089-8657f7c8822b","c17","Commander 2017"
"294","","en","Wind-Scarred Crag","","1","ea993daa-f793-4caf-a2f8-eb2a6a0fc94a","c17","Commander 2017"
"238","","en","Bojuka Bog","","1","e379c13b-88c6-46ef-b3f6-d35ed2e8860b","c17","Commander 2017"
"233","","en","Akoum Refuge","","1","2745cd0e-086b-4456-9124-e7bf692fcc21","c17","Commander 2017"
"98","","en","Black Market","","1","779f87b6-b99c-4eb1-a43e-af275b9ef3b1","c17","Commander 2017"
"99","","en","Blood Artist","","1","e93e65d6-c2c8-4ab6-9296-7b21ff2ff8bf","c17","Commander 2017"
"112","","en","Drana, Kalastria Bloodchief","","1","2c58ce5e-b038-4376-a5f4-9849baa255b9","c17","Commander 2017"
"248","","en","Evolving Wilds","","1","1d8bbc93-4bb8-4cba-b284-5149ac71767d","c17","Commander 2017"
"114","","en","Go for the Throat","","1","3c6cb231-41df-409c-923e-100319f27ee3","c17","Commander 2017"
"182","","en","Mortify","","1","f376fe4f-87a1-4942-a8ef-3553d73a2334","c17","Commander 2017"
"268","","en","Orzhov Basilica","","1","b31f4a31-fe5c-4430-a8b3-630ceb80e38d","c17","Commander 2017"
"122","","en","Read the Bones","","1","ece1852d-8b7f-4fe6-b9fe-0584a94087ab","c17","Commander 2017"
"276","","en","Scoured Barrens","","1","0d525f2e-3330-4145-9e78-ce5408627c34","c17","Commander 2017"
"125","","en","Skeletal Scrying","","1","6653ed3b-2a82-4e22-a9ca-18da5da94990","c17","Commander 2017"
"222","","en","Skullclamp","","1","ab56119b-1e13-44d4-b73b-991488c039f1","c17","Commander 2017"
"223","","en","Sol Ring","","1","c6399a22-cebf-4c1d-a23e-4c68f784ac1b","c17","Commander 2017"
"76","","en","Swords to Plowshares","","1","d8d4eaeb-6546-44d8-a96f-7270e23014d1","c17","Commander 2017"
"8","","en","Teferi's Protection","","1","77f130c7-0138-4a1a-9f67-62d2c302dc48","c17","Commander 2017"
"200","","en","Tithe Drinker","","1","35e22f03-55f1-449a-b8c1-6ad9f92c55ed","c17","Commander 2017"
"129","","en","Vampire Nighthawk","","1","f5a3c19b-c8b3-4b22-87d4-6d998e473da2","c17","Commander 2017"
"95","","en","Ambition's Cost","","1","c40f60fe-0f81-43a8-9205-57cf718db81e","c17","Commander 2017"
"236","","en","Bloodfell Caves","","1","83a54064-982f-4ff8-b5e6-c5b92ae61071","c17","Commander 2017"
"240","","en","Boros Guildgate","","1","095082a3-1b7d-4d45-954b-2c2881256ad8","c17","Commander 2017"
"239","","en","Boros Garrison","","1","cb8914b9-7339-48dd-9fa1-0a7bccefc872","c17","Commander 2017"
"205","","en","Boros Signet","","1","c5cc1e0b-da54-482a-8ed3-e56a1df4d8f2","c17","Commander 2017"
"103","","en","Butcher of Malakir","","1","da3257cb-f3a5-440b-b197-def28676a063","c17","Commander 2017"
"179","","en","Merciless Eviction","","1","0d6901de-65b9-47f5-bcb6-ffab7fe06d51","c17","Commander 2017"
"266","","en","Opal Palace","","1","c7d25e91-a1a4-4c64-bb4e-3aac8145d885","c17","Commander 2017"
"219","","en","Orzhov Signet","","1","ee21d8d0-65ad-462a-8a6d-8c7615ca9cde","c17","Commander 2017"
"127","","en","Syphon Mind","","1","d1ad2f61-d891-4104-99bd-ca69f726920f","c17","Commander 2017"
"285","","en","Terramorphic Expanse","","1","c7daa923-6bd9-4315-a483-840021b745dd","c17","Commander 2017"
"232","","en","Worn Powerstone","","1","c9dffd88-fb82-4ce2-889c-7e247398995c","c17","Commander 2017"
"22","","en","Bloodsworn Steward","","1","e185f493-57c3-47dd-8dac-de8690ce8fbc","c17","Commander 2017"
"14","","en","Bloodline Necromancer","","1","42bffd03-3821-4b0f-9535-2eb455154587","c17","Commander 2017"
"23","","en","Crimson Honor Guard","","1","9597255c-2657-40e4-855f-c8701a70aa39","c17","Commander 2017"
"16","","en","Curse of Disturbance","","1","d022b7d7-e9f5-4f58-8010-331baaa4e3c4","c17","Commander 2017"
"25","","en","Disrupt Decorum","","1","397de47f-02e8-4ccd-8de0-a37971cab3b0","c17","Commander 2017"
"3","","en","Curse of Vitality","","1","c1a80504-d991-4eef-8407-2acf444401f0","c17","Commander 2017"
"52","","en","Heirloom Blade","","1","aae598eb-871d-45af-b12c-346c344ae74b","c17","Commander 2017"
"27","","en","Kindred Charge","","1","3e7dc7f0-ba05-4a13-b8e0-7f536fbf0f34","c17","Commander 2017"
"17","","en","Kheru Mind-Eater","","1","e6246cf3-76bd-476b-9cd9-789b6ad48887","c17","Commander 2017"
"5","","en","Kindred Boon","","1","3b09c3dc-94ed-4d9d-8c5f-51169200de45","c17","Commander 2017"
"56","","en","Path of Ancestry","","1","70e70720-f0b9-4ad7-9366-927d6798d31e","c17","Commander 2017"
