collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Pantlaza, Sun-Favored","","1","2524645e-b066-4351-885b-10faa8d819d7","lcc","The Lost Caverns of Ixalan Commander"
"346","","en","Path of Ancestry","","1","f30552a5-db59-4164-bbd2-44bf7ae1e91e","lcc","The Lost Caverns of Ixalan Commander"
"299","","en","Arcane Signet","","1","fc6c69a0-ac24-4486-8893-a6303d08fc6e","lcc","The Lost Caverns of Ixalan Commander"
"216","","en","Thrashing Brontodon","","1","d52ef7c1-dacb-4204-b64e-5fa3ae3b1ace","lci","The Lost Caverns of Ixalan"
"183","","en","Earthshaker Dreadmaw","","1","cdcbba6f-aa54-44be-a3b0-f712fa8bd5ad","lci","The Lost Caverns of Ixalan"
"194","","en","Ixalli's Lorekeeper","","1","4bc94ded-458d-4458-9c0b-136d825b885d","lci","The Lost Caverns of Ixalan"
"230","","en","Itzquinth, Firstborn of Gishath","","1","7112c366-b36a-4bc8-aa64-6bad16bebc39","lci","The Lost Caverns of Ixalan"
"88","","en","Wrathful Raptors","","1","49243e92-93e3-4090-b4f7-86fa4ca2fef5","lcc","The Lost Caverns of Ixalan Commander"
"90","","en","Curious Altisaur","","1","83fb87d8-d6f6-4cb0-aca1-49e6fcb181b1","lcc","The Lost Caverns of Ixalan Commander"
"93","","en","Scion of Calamity","","1","75db3c02-7a03-4de5-a70e-220777227dd3","lcc","The Lost Caverns of Ixalan Commander"
"94","","en","Sunfrill Imitator","","1","f1ac22a3-6edb-4f3e-b473-8166529eb769","lcc","The Lost Caverns of Ixalan Commander"
"100","","en","Progenitor's Icon","","1","48104961-2090-435a-8d0e-6115e051b05c","lcc","The Lost Caverns of Ixalan Commander"
"69","","en","Bronzebeak Foragers","","1","dadfcd91-3000-448e-a304-be425ff68644","lcc","The Lost Caverns of Ixalan Commander"
"72","","en","From the Rubble","","1","9f7f7c5c-592b-4d22-968b-e5162b024b6e","lcc","The Lost Caverns of Ixalan Commander"
"92","","en","Dinosaur Egg","","1","9afdb38b-cdb4-4f64-8fc7-2df666a9db1b","lcc","The Lost Caverns of Ixalan Commander"
"128","","en","Generous Gift","","1","fc70e127-ffc8-45ed-9ca3-7f9f926ac4d5","lcc","The Lost Caverns of Ixalan Commander"
"134","","en","Path to Exile","","1","7e9c2a58-4a1c-454c-b72d-faecaea105fb","lcc","The Lost Caverns of Ixalan Commander"
"321","","en","Canopy Vista","","1","2258c917-763a-43a6-9635-a5181e6bb54d","lcc","The Lost Caverns of Ixalan Commander"
"235","","en","Cultivate","","1","e19cd136-0541-4db0-997f-20a58ec8d028","lcc","The Lost Caverns of Ixalan Commander"
