collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","","en","Ellivere of the Wild Court","","1","45851394-b8f3-4713-8239-afcb387d47c5","woc","Wilds of Eldraine Commander"
"267","","en","Plains","","14","eed1af19-e075-4e6f-9394-d258143e15a4","woe","Wilds of Eldraine"
"275","","en","Forest","","15","a4c99f1b-f304-42d5-bbea-32283b01d43b","woe","Wilds of Eldraine"
"61","","en","Archon of Sun's Grace","","1","3c00d4e6-1922-4b18-b3f7-af868b058913","woc","Wilds of Eldraine Commander"
"132","","en","Setessan Champion","","1","261deceb-38fe-4f22-8771-b665b1d36c33","woc","Wilds of Eldraine Commander"
"171","","en","Temple of Plenty","","1","88bdfe28-9f50-463a-8f12-302a06a2d3de","woc","Wilds of Eldraine Commander"
"145","","en","Arcane Signet","","1","18c14a74-dbf6-4224-8bd0-22cf75295924","woc","Wilds of Eldraine Commander"
"154","","en","Castle Ardenvale","","1","ea28b7a7-c261-4abb-a919-84cb0d2ed147","woc","Wilds of Eldraine Commander"
"156","","en","Command Tower","","1","aed61bbb-83fd-452b-b940-c8eb1e1ebdac","woc","Wilds of Eldraine Commander"
"128","","en","Kenrith's Transformation","","1","a34add4e-5d5e-489c-a3b4-daef05a2bb0f","woc","Wilds of Eldraine Commander"
"71","","en","Realm-Cloaked Giant // Cast Off","","1","d8b82dd5-c0ff-4294-9c09-9064c5e325c4","woc","Wilds of Eldraine Commander"
"125","","en","Enchantress's Presence","","1","602bd27a-7ae1-4081-8d68-bb2539cd5965","woc","Wilds of Eldraine Commander"
"119","","en","Ancestral Mask","","1","0d75292c-cc03-4c40-be01-a8dba66b761c","woc","Wilds of Eldraine Commander"
"60","","en","Angelic Destiny","","1","58b6f2ab-0076-48b7-951c-b1ab6484d895","woc","Wilds of Eldraine Commander"
"120","","en","Aura Gnarlid","","1","59ae8d4f-a808-4802-a55b-04a3a911b9e0","woc","Wilds of Eldraine Commander"
"64","","en","Danitha Capashen, Paragon","","1","85cbf61d-4e16-411e-b67e-4f316c79c9e1","woc","Wilds of Eldraine Commander"
"126","","en","Fertile Ground","","1","70f6d44d-f205-4116-87aa-3c57d38684aa","woc","Wilds of Eldraine Commander"
"163","","en","Krosan Verge","","1","5ca98bdb-8e5f-439f-8c5a-3562c268e767","woc","Wilds of Eldraine Commander"
"143","","en","Pollenbright Wings","","1","b88cd231-d2f3-4871-869b-ab5ba299f7f9","woc","Wilds of Eldraine Commander"
"133","","en","Snake Umbra","","1","00b60638-bea3-4c27-9819-da5ac2be1ca1","woc","Wilds of Eldraine Commander"
"149","","en","Sol Ring","","1","16fbbd8d-bb18-4a8b-95a4-30ad6d548f72","woc","Wilds of Eldraine Commander"
"78","","en","Swords to Plowshares","","1","9443c31e-9f36-44ef-bc59-6d1d3a5499bb","woc","Wilds of Eldraine Commander"
"76","","en","Starfield Mystic","","1","622c4ee7-e91f-4839-aee5-071dcdbe8987","woc","Wilds of Eldraine Commander"
"167","","en","Sungrass Prairie","","1","634bb7ce-d361-4617-acfa-acd5ae7fb1ff","woc","Wilds of Eldraine Commander"
"77","","en","Sun Titan","","1","ae10463f-fe23-406c-8a63-051c5650c2ee","woc","Wilds of Eldraine Commander"
"164","","en","Myriad Landscape","","1","aa37af24-60d3-426a-b395-7b255fd54801","woc","Wilds of Eldraine Commander"
"65","","en","Daybreak Coronet","","1","98bad09a-64f4-4067-9802-f408793d82f7","woc","Wilds of Eldraine Commander"
"121","","en","Bear Umbra","","1","9fe8f2a7-70cd-41e9-b87d-16dc44c21537","woc","Wilds of Eldraine Commander"
"69","","en","Kor Spiritdancer","","1","8ca4e4d4-84b0-4a38-ad48-4a963c977471","woc","Wilds of Eldraine Commander"
"82","","en","Umbra Mystic","","1","79865b8e-10fe-4f1a-805a-98bb5c10167f","woc","Wilds of Eldraine Commander"
"173","","en","Vitu-Ghazi, the City-Tree","","1","5630193b-4956-4f64-9dae-7aa7452d8989","woc","Wilds of Eldraine Commander"
"153","","en","Canopy Vista","","1","ded2e0ca-acdb-470f-a287-67bd1605107f","woc","Wilds of Eldraine Commander"
"161","","en","Fortified Village","","1","9fdac3b7-5b79-47f7-bae1-da9e801a929b","woc","Wilds of Eldraine Commander"
"134","","en","Sylvan Ranger","","1","db9edf66-4a30-4d82-9c46-505ed9b8a3f7","woc","Wilds of Eldraine Commander"
"80","","en","Tithe Taker","","1","6c817300-c9be-4ff4-b59d-85eb21152c40","woc","Wilds of Eldraine Commander"
"130","","en","Rishkar's Expertise","","1","6a580666-f698-401a-9db6-bf9aaf4222b2","woc","Wilds of Eldraine Commander"
"83","","en","Winds of Rath","","1","a3a619f0-32df-403a-a046-786c42f69ef5","woc","Wilds of Eldraine Commander"
"124","","en","Eidolon of Blossoms","","1","586c639e-9050-4f45-aa65-0947a2d2a57a","woc","Wilds of Eldraine Commander"
"135","","en","Utopia Sprawl","","1","612c2a10-b978-4000-894b-12d5f14afc97","woc","Wilds of Eldraine Commander"
"129","","en","Paradise Druid","","1","000e2f80-7667-4a8b-91c2-359121d44ebb","woc","Wilds of Eldraine Commander"
"68","","en","Generous Gift","","1","cda7894c-895c-4e43-b32c-cc28ae049534","woc","Wilds of Eldraine Commander"
"162","","en","Hall of Heliod's Generosity","","1","72386d5a-cb57-445d-9bfa-d92c0905da8c","woc","Wilds of Eldraine Commander"
"62","","en","Austere Command","","1","901572b8-cf7a-4d4c-92f4-4183f98ba478","woc","Wilds of Eldraine Commander"
"73","","en","Sage's Reverie","","1","2ad9d5f2-f41b-47f6-acdf-bd8974446a9a","woc","Wilds of Eldraine Commander"
"63","","en","Celestial Archon","","1","70e1129c-97d3-4da0-9bd7-63aa8eacef76","woc","Wilds of Eldraine Commander"
"67","","en","Ethereal Armor","","1","19557197-521d-4900-a260-1a21e49113f5","woc","Wilds of Eldraine Commander"
"123","","en","Destiny Spinner","","1","cfcde60c-7dbf-41e1-98c5-7be993913a84","woc","Wilds of Eldraine Commander"
"144","","en","Siona, Captain of the Pyleas","","1","9adb1528-dc72-4ec7-bcb4-a043bcd8d9d2","woc","Wilds of Eldraine Commander"
"81","","en","Transcendent Envoy","","1","042b3a3c-a105-4bfa-b0bb-f93d22401c85","woc","Wilds of Eldraine Commander"
"137","","en","Warbriar Blessing","","1","76fd958e-bcc6-4f6d-9566-b6cd875fa6c4","woc","Wilds of Eldraine Commander"
"59","","en","Ajani's Chosen","","1","e0cb62f0-624a-4b7c-b237-1d3a8ac23eaa","woc","Wilds of Eldraine Commander"
"136","","en","Verdant Embrace","","1","b36f2399-bf72-48ab-9314-834b69194d5d","woc","Wilds of Eldraine Commander"
"66","","en","Eidolon of Countless Battles","","1","069300b3-071c-445c-972d-8051f2d5c3d9","woc","Wilds of Eldraine Commander"
"74","","en","Shalai, Voice of Plenty","","1","f963ccb2-4ac3-41b3-8ecb-7879b50663a3","woc","Wilds of Eldraine Commander"
"72","","en","Retether","","1","79bd15d3-255b-4aa5-8c71-04f7f9eacfd1","woc","Wilds of Eldraine Commander"
"79","","en","Timely Ward","","1","dd0af67e-d31f-431f-b912-ce8382785ded","woc","Wilds of Eldraine Commander"
"75","","en","Spectral Steel","","1","923ccb8e-5793-44fe-b15c-b218a8d84cfa","woc","Wilds of Eldraine Commander"
"131","","en","Sanctum Weaver","","1","12089acb-81f5-4d49-89f4-1f207f3b92fd","woc","Wilds of Eldraine Commander"
"70","","en","Mantle of the Ancients","","1","ff6fe6e4-f7b9-4d5b-9f38-f97a2df00e0c","woc","Wilds of Eldraine Commander"
"127","","en","Indomitable Might","","1","c3905879-2110-488b-a4f3-e37e8a97c1b9","woc","Wilds of Eldraine Commander"
"140","","en","Jukai Naturalist","","1","2dd0cba1-1d53-49a7-a6fa-dea0a6bd8ece","woc","Wilds of Eldraine Commander"
"122","","en","Careful Cultivation","","1","68d56fac-4dca-47b8-b48e-0a3d532004a5","woc","Wilds of Eldraine Commander"
"188","","en","Tanglespan Lookout","","1","3bc5c32d-be0a-4a5f-a8c7-9767a895bc76","woe","Wilds of Eldraine"
"214","","en","Syr Armont, the Redeemer","","1","85050609-baf0-430a-ab33-83a6ea6d4741","woe","Wilds of Eldraine"
"17","","en","Giant Inheritance","","1","3e8d46e1-7aad-4e2b-82a5-af81cd6c8ae5","woc","Wilds of Eldraine Commander"
"7","","en","Songbirds' Blessing","","1","1f19d737-97dc-4b58-9c6b-be2a40c098ff","woc","Wilds of Eldraine Commander"
"5","","en","Liberated Livestock","","1","f22f4c5a-fe42-4511-be96-78e0e807e704","woc","Wilds of Eldraine Commander"
"6","","en","Ox Drover","","1","b479be78-da22-41f0-937e-348dc0c7511e","woc","Wilds of Eldraine Commander"
"18","","en","Knickknack Ouphe","","1","08fe7e9c-7c3b-435f-bc0d-e380e6b852c0","woc","Wilds of Eldraine Commander"
"8","","en","Unfinished Business","","1","08f320ca-d039-4e91-bf64-810d10d4cc8b","woc","Wilds of Eldraine Commander"
"20","","en","Timber Paladin","","1","1edfd4d2-c492-4bec-9bb0-c5b7cb01818f","woc","Wilds of Eldraine Commander"
"19","","en","Loamcrafter Faun","","1","ac96f5b6-72bc-4cd5-8886-1edf2aba15d5","woc","Wilds of Eldraine Commander"
"4","foil","en","Gylwain, Casting Director","","1","79e4242c-a53a-4287-976b-8e545888a1fa","woc","Wilds of Eldraine Commander"
