collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"7","foil","en","Kalemne, Disciple of Iroas","","1","3c718940-dc07-4449-ba35-4029f366c3eb","cm2","Commander Anthology Volume II"
"17","","en","Arbiter of Knollridge","","1","1fc2e7c4-5dbe-49f4-8c3f-192e7544df74","cm2","Commander Anthology Volume II"
"16","","en","Angel of Serenity","","1","85858fe0-dba3-49f7-9467-0aa68797bac4","cm2","Commander Anthology Volume II"
"232","","en","Ancient Amphitheater","","1","c68137c5-c2f9-4b0d-ac4b-12c519854166","cm2","Commander Anthology Volume II"
"238","","en","Blasted Landscape","","1","55776293-fde5-481e-a069-31721866a7d7","cm2","Commander Anthology Volume II"
"173","","en","Basalt Monolith","","1","4744e0a0-c17b-4700-8897-528d2b57adda","cm2","Commander Anthology Volume II"
"181","","en","Coldsteel Heart","","1","4653832d-ccc3-438a-8f64-e5f5cc995df4","cm2","Commander Anthology Volume II"
"88","","en","Breath of Darigaaz","","1","cbb60f03-7bcf-46a3-9310-c2067d9c5396","cm2","Commander Anthology Volume II"
"175","","en","Boros Cluestone","","1","3084f7ac-6b9b-48ad-b39c-3d7b7fb79422","cm2","Commander Anthology Volume II"
"174","","en","Blade of Selves","","1","55fcf1f3-f823-4017-ac43-4f76d4ad2e2a","cm2","Commander Anthology Volume II"
"18","","en","Banishing Light","","1","e45da7c2-d869-4b51-956c-287d0b0d2df4","cm2","Commander Anthology Volume II"
"87","","en","Borderland Behemoth","","1","e4cbde6a-fbc8-403a-98ad-769d25aa4732","cm2","Commander Anthology Volume II"
"240","","en","Boros Guildgate","","1","37b72bee-351a-4c06-9d42-cc2ae1241b45","cm2","Commander Anthology Volume II"
"176","","en","Boros Signet","","1","e14cffbc-b644-4ad5-b62b-30a81c2968bf","cm2","Commander Anthology Volume II"
"239","","en","Boros Garrison","","1","ae4966ae-3d40-4227-bd4b-54a6c67230b6","cm2","Commander Anthology Volume II"
"90","","en","Curse of the Nightly Hunt","","1","2983c017-1697-4d45-ac58-3f3ccbaaefff","cm2","Commander Anthology Volume II"
"22","","en","Crib Swap","","1","5a3df85a-21c8-45fc-a7fc-f9fed1e735f0","cm2","Commander Anthology Volume II"
"242","","en","Command Tower","","1","57ae67fd-065d-41d1-bd36-966b0070f026","cm2","Commander Anthology Volume II"
"25","","en","Dawnglare Invoker","","1","c7cc4332-8d8a-47f5-9583-219be4f2030a","cm2","Commander Anthology Volume II"
"184","","en","Darksteel Ingot","","1","5fb4c2b7-8714-496e-a981-844e8e5b81ea","cm2","Commander Anthology Volume II"
"24","","en","Dawnbreak Reclaimer","","1","b6d097f4-4831-4611-81d9-3a09b7926d1a","cm2","Commander Anthology Volume II"
"249","","en","Evolving Wilds","","1","f51f44b1-2fa1-469a-b194-bab85c8096c5","cm2","Commander Anthology Volume II"
"28","","en","Faith's Fetters","","1","fac38053-817d-4e0c-b6cc-81b6b92e652f","cm2","Commander Anthology Volume II"
"97","","en","Fall of the Hammer","","1","6b40108a-c9b6-4364-9d5a-c87a9cc4e94b","cm2","Commander Anthology Volume II"
"189","","en","Fellwar Stone","","1","1e60622b-7c25-444d-8eeb-c443acdfc488","cm2","Commander Anthology Volume II"
"95","","en","Earthquake","","1","7cf2f3c7-66b2-48f6-97ef-09150903df7e","cm2","Commander Anthology Volume II"
"248","","en","Drifting Meadow","","1","4219a8bb-a24f-4394-abf8-04251b171318","cm2","Commander Anthology Volume II"
"91","","en","Desolation Giant","","1","b74a47b5-100d-424f-8432-7668c50458f8","cm2","Commander Anthology Volume II"
"92","","en","Disaster Radius","","1","ba63c385-7eb8-4ddb-ae27-2b5921cd0525","cm2","Commander Anthology Volume II"
"186","","en","Dreamstone Hedron","","1","8ae24944-668f-4572-b15c-9e0fad6057ba","cm2","Commander Anthology Volume II"
"93","","en","Dream Pillager","","1","aa268b0b-a981-4774-8455-a608248a5e56","cm2","Commander Anthology Volume II"
"252","","en","Forgotten Cave","","1","ff15e214-3ffd-4bf4-849b-5e7cf1967f05","cm2","Commander Anthology Volume II"
"98","","en","Fiery Confluence","","1","819a513c-3be6-4bdc-8ba6-1f7326a8f3ea","cm2","Commander Anthology Volume II"
"100","","en","Fumiko the Lowblood","","1","32625c5d-6e62-4bbb-bd8d-d752090585ea","cm2","Commander Anthology Volume II"
"102","","en","Hamletback Goliath","","1","c52a7ca6-f0bb-42b1-9a2a-6206c7bfa31d","cm2","Commander Anthology Volume II"
"103","","en","Hammerfist Giant","","1","4fc5a36a-b572-4689-84b9-c5fb87d954c2","cm2","Commander Anthology Volume II"
"105","","en","Hostility","","1","9b54945a-d355-40fd-b1fd-9ecb2d696de5","cm2","Commander Anthology Volume II"
"29","","en","Herald of the Host","","1","57971e1c-6aff-45ea-a080-0dae642dbcf6","cm2","Commander Anthology Volume II"
"106","","en","Hunted Dragon","","1","351cea54-905e-401b-8627-7c3fd192b772","cm2","Commander Anthology Volume II"
"109","","en","Inferno Titan","","1","116eafca-668b-4864-bb7b-9d615c93c059","cm2","Commander Anthology Volume II"
"196","","en","Lightning Greaves","","1","f0fbee02-b6cc-4cd1-a702-cf4f89c17921","cm2","Commander Anthology Volume II"
"199","","en","Loxodon Warhammer","","1","1c20b8a0-55b3-4974-9b80-5a80a53de144","cm2","Commander Anthology Volume II"
"30","","en","Jareth, Leonine Titan","","1","bf57d9ec-d161-4cb4-989b-72278bfdba4c","cm2","Commander Anthology Volume II"
"31","","en","Kalemne's Captain","","1","3c8cfcc3-55c6-4011-ae13-dff1ddaed37a","cm2","Commander Anthology Volume II"
"111","","en","Magma Giant","","1","55ebd81a-4711-459d-9d97-d9ea12892184","cm2","Commander Anthology Volume II"
"113","","en","Magus of the Wheel","","1","82df35f5-5bbf-44d5-8de3-104fd32be9c6","cm2","Commander Anthology Volume II"
"114","","en","Meteor Blast","","1","de18b9ff-9847-4347-a02f-391470332f6e","cm2","Commander Anthology Volume II"
"200","","en","Mind Stone","","1","2c214d26-8d0f-49a2-8e34-be073d34369a","cm2","Commander Anthology Volume II"
"32","","en","Oreskos Explorer","","1","626e2bcc-5345-4322-a51a-80ec55afce8c","cm2","Commander Anthology Volume II"
"213","","en","Sandstone Oracle","","1","29a620da-dbfc-4f8c-ae77-8ecdbe3cc1fc","cm2","Commander Anthology Volume II"
