collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"6","foil","en","Willowdusk, Essence Seer","","1","42a97ec1-f613-49a5-9236-7fded1a81f3b","c21","Commander 2021"
"371","","en","Swamp","","11","11093e3f-092e-49d9-aef9-b9855b040bf2","stx","Strixhaven: School of Mages"
"374","","en","Forest","","11","dfaf517f-86a1-45eb-bd71-e0bffb610396","stx","Strixhaven: School of Mages"
"178","","en","Dina, Soul Steeper","","1","9cd2b567-0cf7-4441-b3ce-e31141dd91c8","stx","Strixhaven: School of Mages"
"207","","en","Mortality Spear","","1","f1f39fe7-dc12-49c9-80ac-4135dc1f8f08","stx","Strixhaven: School of Mages"
"275","","en","Witherbloom Campus","","1","7346fb2e-754e-47de-b33d-eb089b357ee4","stx","Strixhaven: School of Mages"
"134","","en","Honor Troll","","1","a9c6a6b9-f00c-46a5-8dab-796483e3a262","stx","Strixhaven: School of Mages"
"80","","en","Study Hall","","1","a3de9859-98b6-4efe-847a-43bac5b1ef9f","c21","Commander 2021"
"234","","en","Arcane Signet","","1","01b186af-8825-4257-80fd-9c1ecdb21414","c21","Commander 2021"
"263","","en","Sol Ring","","1","4cbc6901-6a4a-4d0a-83ea-7eefa3b35021","c21","Commander 2021"
"63","","en","Healing Technique","","1","33897125-a1df-4d7a-a45a-9c049cb662f6","c21","Commander 2021"
"60","","en","Ezzaroot Channeler","","1","a7fd9ede-cc6e-4a96-934b-d91d4aa7fa0a","c21","Commander 2021"
"65","","en","Pest Infestation","","1","4720b4f2-e6af-4223-9250-a0ed21ed5693","c21","Commander 2021"
"59","","en","Blossoming Bogbeast","","1","332153ab-1b8e-40a8-b0b4-01f94866d368","c21","Commander 2021"
"68","","en","Sproutback Trudge","","1","dbf26e54-bdfe-4da8-acbb-4f1a98faba49","c21","Commander 2021"
"69","","en","Trudge Garden","","1","f0c2aa0a-479a-4eb2-8656-d8aaa1c0d7f7","c21","Commander 2021"
"70","","en","Yedora, Grave Gardener","","1","320b9678-5bbc-40dd-a508-90a647e95a71","c21","Commander 2021"
"46","","en","Veinwitch Coven","","1","b148be5f-892b-452a-b15e-89da1f3a2b20","c21","Commander 2021"
"45","","en","Tivash, Gloom Summoner","","1","e3b2a152-7bb9-495d-ac84-516097754137","c21","Commander 2021"
"43","","en","Marshland Bloodcaster","","1","024ab7f9-1891-4c71-9fcf-cf124b1c6d10","c21","Commander 2021"
